AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,household_key,label
65+,A,35-49K,1,0
45-54,A,50-74K,7,1
25-34,U,25-34K,8,0
25-34,U,75-99K,13,0
45-54,B,50-74K,16,0
65+,B,Under 15K,17,1
45-54,A,100-124K,18,0
35-44,B,15-24K,19,0
25-34,A,75-99K,20,1
45-54,A,75-99K,22,1
35-44,U,50-74K,25,1
45-54,U,25-34K,27,1
35-44,B,35-49K,31,0
35-44,A,125-149K,39,0
45-54,U,Under 15K,40,0
65+,U,50-74K,42,1
35-44,B,15-24K,43,1
45-54,A,150-174K,46,0
19-24,U,35-49K,48,0
35-44,A,35-49K,49,1
45-54,B,50-74K,52,0
65+,A,35-49K,55,0
55-64,A,100-124K,56,1
45-54,B,35-49K,57,0
25-34,A,150-174K,58,0
45-54,A,Under 15K,67,1
35-44,A,25-34K,71,1
65+,A,15-24K,74,1
35-44,A,100-124K,77,0
55-64,U,25-34K,78,0
45-54,U,50-74K,80,0
25-34,U,35-49K,85,0
65+,B,35-49K,86,0
45-54,U,75-99K,97,1
35-44,U,35-49K,98,1
45-54,A,Under 15K,101,1
35-44,A,35-49K,104,1
25-34,B,Under 15K,105,0
25-34,A,15-24K,109,0
25-34,U,35-49K,110,1
35-44,A,125-149K,113,0
25-34,U,35-49K,114,0
65+,B,35-49K,117,0
45-54,B,35-49K,118,0
45-54,U,125-149K,119,0
45-54,U,25-34K,121,0
45-54,B,35-49K,123,0
45-54,U,25-34K,127,0
45-54,U,50-74K,131,1
45-54,A,Under 15K,133,1
55-64,A,25-34K,134,1
45-54,U,50-74K,136,0
35-44,B,75-99K,139,0
45-54,U,35-49K,149,0
35-44,B,50-74K,155,0
19-24,U,15-24K,157,1
45-54,U,50-74K,158,1
45-54,U,Under 15K,159,0
19-24,A,75-99K,161,1
45-54,U,35-49K,164,1
55-64,A,35-49K,165,1
25-34,A,50-74K,166,1
25-34,A,100-124K,170,0
25-34,A,25-34K,178,0
45-54,U,25-34K,184,0
45-54,A,35-49K,192,0
45-54,A,75-99K,193,1
35-44,A,Under 15K,198,0
45-54,A,15-24K,201,0
45-54,U,50-74K,208,1
45-54,U,25-34K,209,0
65+,A,35-49K,211,1
35-44,U,Under 15K,212,0
55-64,B,Under 15K,214,1
35-44,U,50-74K,216,1
45-54,A,15-24K,218,0
55-64,A,150-174K,219,1
45-54,A,35-49K,220,0
65+,U,15-24K,221,1
35-44,A,35-49K,222,1
25-34,U,25-34K,230,1
35-44,U,35-49K,232,1
35-44,A,250K+,235,0
45-54,U,50-74K,239,1
45-54,A,75-99K,242,1
65+,U,50-74K,243,0
35-44,A,125-149K,248,0
35-44,A,Under 15K,249,1
45-54,A,75-99K,250,1
45-54,U,Under 15K,253,1
25-34,U,50-74K,256,0
25-34,U,25-34K,257,0
45-54,U,35-49K,263,1
45-54,U,75-99K,264,1
35-44,U,35-49K,276,1
35-44,B,50-74K,281,1
45-54,U,35-49K,282,0
25-34,A,50-74K,283,1
45-54,B,100-124K,289,1
25-34,U,35-49K,290,1
25-34,A,50-74K,294,1
55-64,A,Under 15K,300,0
35-44,A,35-49K,301,0
45-54,U,35-49K,302,0
25-34,U,50-74K,304,0
19-24,U,35-49K,306,1
25-34,A,75-99K,309,0
45-54,U,75-99K,314,1
45-54,A,75-99K,317,1
45-54,U,35-49K,319,0
45-54,A,100-124K,321,0
45-54,U,50-74K,324,0
35-44,A,75-99K,325,0
25-34,U,75-99K,329,0
35-44,A,125-149K,332,1
45-54,A,Under 15K,334,0
65+,A,50-74K,346,1
45-54,A,50-74K,350,1
45-54,U,50-74K,351,0
45-54,A,150-174K,353,1
25-34,A,35-49K,354,1
35-44,U,50-74K,358,1
45-54,U,50-74K,361,1
65+,U,50-74K,362,0
55-64,A,50-74K,367,1
65+,U,50-74K,370,0
35-44,A,75-99K,371,0
45-54,A,50-74K,377,0
55-64,A,50-74K,378,0
25-34,B,35-49K,381,1
45-54,U,50-74K,383,0
25-34,A,50-74K,385,1
35-44,B,25-34K,386,1
25-34,B,50-74K,387,0
35-44,U,150-174K,389,1
45-54,B,25-34K,390,1
65+,B,25-34K,391,0
35-44,A,250K+,392,0
35-44,U,25-34K,395,0
35-44,A,150-174K,400,1
25-34,A,25-34K,404,1
19-24,B,25-34K,409,0
55-64,A,35-49K,410,0
35-44,U,Under 15K,411,1
65+,A,15-24K,412,1
45-54,U,100-124K,413,0
45-54,A,35-49K,417,0
35-44,U,35-49K,418,0
45-54,U,50-74K,426,1
19-24,U,50-74K,428,0
19-24,U,25-34K,432,0
35-44,A,15-24K,434,0
25-34,A,50-74K,437,0
35-44,A,50-74K,438,1
45-54,B,50-74K,441,0
25-34,U,15-24K,442,0
45-54,A,25-34K,443,1
25-34,B,Under 15K,451,0
55-64,U,35-49K,454,1
19-24,B,50-74K,456,1
55-64,A,35-49K,458,0
65+,B,25-34K,460,0
65+,U,100-124K,462,1
65+,A,50-74K,464,1
45-54,U,75-99K,469,1
45-54,U,50-74K,473,0
45-54,U,35-49K,483,1
25-34,U,15-24K,484,0
35-44,U,25-34K,485,1
55-64,U,150-174K,489,1
35-44,A,75-99K,490,1
45-54,A,75-99K,491,0
45-54,U,50-74K,492,0
55-64,U,50-74K,493,1
35-44,A,250K+,510,0
45-54,U,75-99K,513,1
45-54,A,75-99K,518,0
65+,B,35-49K,523,1
45-54,U,50-74K,526,1
45-54,U,50-74K,527,1
45-54,U,35-49K,534,0
25-34,B,50-74K,540,0
25-34,U,35-49K,542,1
35-44,A,35-49K,543,0
45-54,U,50-74K,546,0
35-44,B,75-99K,548,1
45-54,U,75-99K,553,0
19-24,U,35-49K,560,0
19-24,U,25-34K,567,1
35-44,A,250K+,569,0
35-44,A,75-99K,574,0
35-44,U,50-74K,575,0
55-64,A,35-49K,576,0
25-34,U,50-74K,578,1
45-54,A,125-149K,582,1
35-44,B,15-24K,583,1
19-24,A,35-49K,586,1
35-44,A,50-74K,588,1
35-44,U,35-49K,593,0
25-34,U,35-49K,595,1
45-54,A,15-24K,596,0
19-24,U,Under 15K,597,1
35-44,B,25-34K,598,0
35-44,A,100-124K,601,0
25-34,A,75-99K,605,1
45-54,U,35-49K,606,1
45-54,U,125-149K,607,0
25-34,B,25-34K,608,1
45-54,U,50-74K,609,0
35-44,A,15-24K,614,1
45-54,U,35-49K,621,1
35-44,U,15-24K,622,0
45-54,A,35-49K,623,1
45-54,U,50-74K,624,1
35-44,A,35-49K,630,1
65+,A,100-124K,631,0
65+,A,75-99K,644,1
35-44,A,50-74K,647,1
55-64,A,50-74K,660,0
45-54,U,50-74K,661,1
55-64,A,35-49K,670,1
35-44,U,35-49K,671,1
35-44,U,25-34K,672,0
35-44,U,50-74K,675,0
45-54,U,50-74K,680,0
65+,A,125-149K,682,0
35-44,A,Under 15K,685,1
35-44,A,125-149K,688,0
65+,B,15-24K,690,0
65+,U,35-49K,692,1
45-54,U,15-24K,693,0
35-44,B,35-49K,695,1
35-44,U,50-74K,696,1
45-54,A,50-74K,699,0
45-54,B,50-74K,706,1
25-34,A,100-124K,707,1
35-44,A,100-124K,708,0
65+,A,50-74K,712,0
55-64,U,15-24K,714,1
55-64,A,15-24K,715,1
45-54,A,75-99K,716,0
45-54,A,25-34K,718,0
35-44,A,50-74K,722,0
45-54,U,25-34K,725,1
45-54,U,35-49K,731,1
55-64,A,75-99K,732,1
45-54,A,75-99K,733,0
45-54,A,175-199K,740,0
65+,U,50-74K,741,1
35-44,A,15-24K,742,0
45-54,B,Under 15K,748,0
35-44,A,75-99K,752,1
45-54,A,75-99K,753,1
35-44,U,50-74K,755,1
25-34,A,125-149K,761,0
35-44,A,125-149K,762,1
35-44,A,50-74K,764,1
45-54,A,150-174K,766,1
35-44,A,50-74K,768,0
25-34,A,50-74K,770,0
45-54,U,50-74K,771,1
65+,U,125-149K,779,1
45-54,A,100-124K,784,0
65+,A,75-99K,785,0
19-24,U,75-99K,786,0
25-34,B,25-34K,787,1
25-34,U,Under 15K,788,0
45-54,U,50-74K,790,0
25-34,U,75-99K,797,0
25-34,A,35-49K,800,1
65+,U,35-49K,802,0
25-34,U,75-99K,803,1
35-44,A,75-99K,806,1
45-54,U,75-99K,808,0
25-34,U,50-74K,816,0
35-44,A,150-174K,817,1
35-44,A,50-74K,823,1
45-54,A,175-199K,825,0
45-54,B,50-74K,831,1
35-44,A,75-99K,840,1
45-54,A,200-249K,844,1
19-24,B,50-74K,845,0
25-34,U,35-49K,852,1
25-34,B,175-199K,853,0
55-64,B,35-49K,856,0
65+,A,35-49K,857,0
25-34,U,50-74K,859,0
45-54,U,15-24K,863,1
35-44,U,15-24K,864,0
35-44,A,75-99K,865,0
45-54,U,15-24K,866,0
45-54,U,75-99K,867,1
65+,A,35-49K,868,1
35-44,A,200-249K,871,1
25-34,U,25-34K,875,1
25-34,U,35-49K,878,1
35-44,B,50-74K,879,1
45-54,U,50-74K,882,1
35-44,A,35-49K,883,0
35-44,A,100-124K,886,1
25-34,U,150-174K,888,1
25-34,A,50-74K,889,1
45-54,U,150-174K,895,0
55-64,A,125-149K,898,1
35-44,A,35-49K,900,1
35-44,U,35-49K,903,0
55-64,A,Under 15K,906,0
45-54,A,100-124K,908,1
25-34,A,125-149K,911,1
45-54,B,15-24K,914,0
45-54,U,15-24K,915,0
45-54,A,35-49K,920,1
45-54,U,35-49K,922,0
35-44,U,Under 15K,926,1
45-54,B,25-34K,929,1
19-24,U,15-24K,932,1
45-54,U,Under 15K,934,0
45-54,U,75-99K,939,1
19-24,A,200-249K,941,0
19-24,U,Under 15K,946,1
65+,B,35-49K,947,0
25-34,U,50-74K,949,0
19-24,U,Under 15K,955,0
45-54,U,50-74K,956,1
35-44,A,125-149K,960,1
35-44,B,35-49K,968,0
25-34,A,35-49K,971,0
35-44,A,50-74K,973,1
25-34,A,200-249K,976,1
35-44,B,35-49K,979,1
45-54,A,25-34K,981,0
45-54,U,35-49K,982,0
45-54,A,35-49K,983,0
25-34,U,35-49K,986,0
45-54,A,35-49K,992,0
55-64,A,50-74K,993,1
55-64,A,25-34K,996,0
45-54,U,75-99K,997,1
45-54,U,50-74K,1001,1
35-44,U,25-34K,1003,0
25-34,U,15-24K,1004,0
35-44,A,35-49K,1012,1
45-54,A,15-24K,1014,1
45-54,U,50-74K,1015,1
45-54,A,35-49K,1018,0
45-54,A,25-34K,1020,0
35-44,A,50-74K,1021,1
25-34,A,Under 15K,1024,0
35-44,A,75-99K,1031,0
55-64,U,Under 15K,1038,0
25-34,B,100-124K,1040,0
25-34,U,35-49K,1041,1
25-34,U,75-99K,1042,0
25-34,A,Under 15K,1045,0
55-64,A,100-124K,1053,1
35-44,U,50-74K,1057,0
35-44,B,35-49K,1060,0
65+,U,15-24K,1062,0
35-44,U,25-34K,1066,0
25-34,U,35-49K,1069,0
35-44,U,50-74K,1070,0
45-54,A,35-49K,1074,0
25-34,B,35-49K,1076,0
55-64,A,75-99K,1081,1
45-54,U,35-49K,1082,1
25-34,U,35-49K,1084,0
45-54,A,75-99K,1091,1
45-54,A,75-99K,1094,0
35-44,A,50-74K,1103,0
45-54,A,50-74K,1113,1
35-44,B,Under 15K,1120,0
55-64,A,15-24K,1123,0
25-34,U,75-99K,1128,1
55-64,U,25-34K,1130,0
45-54,B,50-74K,1131,0
45-54,U,50-74K,1135,1
65+,B,35-49K,1137,1
35-44,U,15-24K,1138,1
45-54,A,50-74K,1142,1
35-44,B,35-49K,1146,0
19-24,U,25-34K,1147,1
45-54,U,Under 15K,1151,1
45-54,A,35-49K,1154,0
45-54,U,15-24K,1158,1
45-54,A,15-24K,1159,0
65+,U,35-49K,1160,1
35-44,U,Under 15K,1163,0
25-34,U,15-24K,1164,0
45-54,A,125-149K,1166,0
35-44,U,50-74K,1167,0
19-24,A,15-24K,1169,1
25-34,B,50-74K,1172,1
25-34,U,Under 15K,1174,1
25-34,A,50-74K,1175,0
45-54,U,15-24K,1178,1
35-44,A,50-74K,1179,1
45-54,A,50-74K,1186,1
45-54,U,35-49K,1188,1
25-34,U,35-49K,1190,0
35-44,A,150-174K,1197,1
45-54,A,35-49K,1218,0
19-24,A,15-24K,1219,1
45-54,U,15-24K,1222,0
25-34,B,35-49K,1226,1
45-54,U,100-124K,1228,1
55-64,A,150-174K,1229,1
45-54,B,35-49K,1234,1
35-44,U,50-74K,1236,1
45-54,U,Under 15K,1240,1
35-44,A,35-49K,1247,1
45-54,U,50-74K,1248,1
45-54,U,50-74K,1256,0
45-54,U,50-74K,1257,0
45-54,U,75-99K,1258,0
65+,U,50-74K,1260,0
45-54,A,25-34K,1261,0
25-34,B,15-24K,1263,0
45-54,U,15-24K,1264,0
25-34,U,75-99K,1267,1
35-44,U,Under 15K,1268,1
45-54,U,15-24K,1270,1
65+,A,35-49K,1272,1
25-34,B,25-34K,1285,0
55-64,A,35-49K,1291,1
65+,A,25-34K,1296,1
35-44,U,75-99K,1297,0
35-44,U,15-24K,1299,0
45-54,A,50-74K,1300,1
19-24,B,Under 15K,1305,1
45-54,U,Under 15K,1306,1
55-64,U,35-49K,1316,0
65+,A,50-74K,1318,1
19-24,U,35-49K,1321,0
45-54,U,Under 15K,1326,0
45-54,U,125-149K,1333,1
45-54,U,50-74K,1337,0
35-44,U,75-99K,1352,1
65+,B,15-24K,1354,1
55-64,A,25-34K,1357,0
25-34,U,15-24K,1363,0
65+,B,100-124K,1364,1
35-44,U,75-99K,1367,1
25-34,B,Under 15K,1369,1
65+,U,25-34K,1370,0
55-64,U,50-74K,1376,1
25-34,U,100-124K,1378,0
45-54,U,50-74K,1382,0
35-44,A,100-124K,1388,0
65+,A,100-124K,1389,0
45-54,A,50-74K,1391,0
35-44,B,150-174K,1393,1
45-54,A,50-74K,1394,1
65+,A,125-149K,1396,0
45-54,B,35-49K,1397,1
55-64,U,15-24K,1402,1
45-54,A,50-74K,1412,0
25-34,A,35-49K,1418,0
35-44,U,35-49K,1419,1
35-44,A,50-74K,1421,1
45-54,U,15-24K,1423,0
19-24,B,50-74K,1425,1
55-64,U,35-49K,1428,0
45-54,B,35-49K,1429,0
35-44,A,35-49K,1430,0
25-34,A,15-24K,1437,0
45-54,U,Under 15K,1438,0
35-44,U,150-174K,1443,0
35-44,A,Under 15K,1445,0
45-54,A,125-149K,1451,1
45-54,A,25-34K,1452,1
45-54,A,125-149K,1453,1
65+,A,75-99K,1454,0
35-44,U,25-34K,1461,1
25-34,A,50-74K,1462,1
35-44,A,50-74K,1467,0
65+,A,75-99K,1468,0
45-54,U,35-49K,1470,1
35-44,U,50-74K,1474,0
25-34,B,50-74K,1475,1
45-54,U,15-24K,1479,0
19-24,U,35-49K,1481,1
19-24,U,Under 15K,1483,0
19-24,A,35-49K,1484,1
35-44,U,50-74K,1485,0
25-34,A,50-74K,1488,1
65+,U,35-49K,1491,1
65+,A,15-24K,1492,1
65+,B,25-34K,1494,1
55-64,A,15-24K,1499,1
45-54,U,25-34K,1505,1
45-54,A,50-74K,1509,1
45-54,A,50-74K,1517,1
45-54,A,35-49K,1524,1
25-34,A,50-74K,1527,1
35-44,B,125-149K,1528,0
45-54,U,50-74K,1529,0
25-34,A,75-99K,1534,1
45-54,U,50-74K,1536,0
19-24,A,35-49K,1537,0
45-54,U,15-24K,1540,1
35-44,U,50-74K,1541,1
45-54,A,35-49K,1545,0
45-54,U,15-24K,1549,1
45-54,A,35-49K,1556,0
25-34,A,100-124K,1557,1
45-54,A,75-99K,1563,0
35-44,U,75-99K,1566,0
45-54,U,15-24K,1567,0
55-64,B,35-49K,1568,0
35-44,A,75-99K,1572,1
45-54,U,15-24K,1578,0
19-24,B,50-74K,1580,1
45-54,B,150-174K,1585,1
35-44,U,50-74K,1588,1
25-34,U,25-34K,1591,0
45-54,U,50-74K,1595,1
35-44,U,35-49K,1604,1
45-54,A,125-149K,1609,0
35-44,A,75-99K,1618,1
25-34,U,35-49K,1627,1
19-24,B,Under 15K,1631,1
45-54,A,50-74K,1633,1
25-34,A,35-49K,1634,0
35-44,U,15-24K,1648,1
35-44,B,150-174K,1649,1
45-54,A,75-99K,1650,1
35-44,B,Under 15K,1653,1
35-44,U,150-174K,1662,1
35-44,U,75-99K,1676,0
45-54,A,75-99K,1677,0
45-54,U,75-99K,1678,0
25-34,A,15-24K,1680,1
45-54,U,15-24K,1686,1
45-54,U,50-74K,1689,1
35-44,U,50-74K,1692,0
25-34,A,35-49K,1693,0
35-44,U,15-24K,1694,0
35-44,U,25-34K,1695,0
45-54,A,50-74K,1696,0
35-44,B,25-34K,1707,0
45-54,U,25-34K,1708,1
25-34,A,35-49K,1709,1
35-44,A,150-174K,1710,0
45-54,U,50-74K,1720,0
45-54,U,15-24K,1722,1
55-64,U,75-99K,1726,1
19-24,U,250K+,1740,0
45-54,A,Under 15K,1745,0
45-54,U,35-49K,1748,1
55-64,B,35-49K,1749,1
25-34,A,15-24K,1751,0
45-54,U,35-49K,1753,1
35-44,U,35-49K,1759,1
45-54,A,125-149K,1762,0
45-54,A,75-99K,1764,1
45-54,U,35-49K,1765,1
45-54,A,75-99K,1775,1
25-34,A,35-49K,1778,0
65+,A,75-99K,1779,1
25-34,A,35-49K,1785,1
35-44,A,75-99K,1788,0
45-54,B,100-124K,1791,0
45-54,U,25-34K,1795,0
19-24,U,35-49K,1796,0
65+,U,Under 15K,1797,0
35-44,A,175-199K,1800,1
45-54,U,150-174K,1802,0
19-24,A,50-74K,1803,1
65+,A,35-49K,1804,1
45-54,U,50-74K,1812,0
65+,U,150-174K,1814,1
45-54,U,25-34K,1815,1
19-24,B,Under 15K,1816,0
45-54,A,150-174K,1820,0
55-64,U,35-49K,1822,1
45-54,A,75-99K,1823,0
65+,A,75-99K,1829,0
55-64,U,75-99K,1831,0
25-34,U,25-34K,1833,1
45-54,U,125-149K,1834,1
45-54,B,35-49K,1841,1
45-54,A,250K+,1844,1
45-54,U,175-199K,1845,0
45-54,U,175-199K,1847,0
45-54,A,75-99K,1848,1
65+,A,75-99K,1850,0
25-34,B,150-174K,1858,0
25-34,U,15-24K,1861,0
45-54,U,125-149K,1864,1
45-54,U,50-74K,1865,1
19-24,A,35-49K,1869,0
35-44,U,15-24K,1873,1
65+,A,35-49K,1879,1
35-44,A,35-49K,1892,1
35-44,A,100-124K,1894,1
45-54,A,50-74K,1896,1
25-34,A,25-34K,1899,1
45-54,U,35-49K,1901,0
25-34,B,50-74K,1907,1
35-44,A,50-74K,1911,1
55-64,B,75-99K,1914,1
65+,U,15-24K,1917,0
35-44,A,35-49K,1919,1
55-64,A,50-74K,1920,1
35-44,A,35-49K,1921,0
19-24,B,35-49K,1923,1
25-34,U,35-49K,1926,1
19-24,U,Under 15K,1927,1
35-44,B,75-99K,1928,1
35-44,B,25-34K,1929,1
45-54,U,50-74K,1931,0
55-64,A,150-174K,1935,0
45-54,A,50-74K,1937,0
35-44,A,50-74K,1939,0
25-34,U,125-149K,1944,0
25-34,U,75-99K,1946,0
35-44,U,50-74K,1948,0
45-54,U,Under 15K,1949,0
45-54,U,50-74K,1953,0
25-34,U,35-49K,1955,0
65+,U,25-34K,1962,0
65+,U,Under 15K,1964,1
25-34,A,50-74K,1965,0
35-44,B,75-99K,1975,0
25-34,A,50-74K,1976,0
45-54,U,150-174K,1979,0
55-64,A,50-74K,1980,1
25-34,U,100-124K,1982,0
25-34,U,50-74K,1985,1
65+,U,15-24K,1989,0
35-44,A,125-149K,1990,0
25-34,B,25-34K,1995,1
25-34,U,50-74K,1997,0
35-44,U,35-49K,2002,0
45-54,U,50-74K,2004,1
45-54,U,Under 15K,2006,1
45-54,A,50-74K,2007,0
45-54,U,75-99K,2011,0
45-54,A,25-34K,2012,0
19-24,U,25-34K,2013,0
45-54,A,75-99K,2017,1
45-54,U,50-74K,2018,0
35-44,A,100-124K,2020,1
45-54,U,35-49K,2023,0
25-34,B,125-149K,2024,1
35-44,B,75-99K,2030,0
25-34,U,25-34K,2040,1
35-44,B,35-49K,2041,1
35-44,A,25-34K,2050,0
45-54,A,15-24K,2053,0
35-44,A,35-49K,2057,1
25-34,B,125-149K,2058,0
25-34,U,25-34K,2062,1
55-64,A,75-99K,2063,1
19-24,U,50-74K,2064,0
55-64,A,50-74K,2068,0
35-44,U,15-24K,2069,1
45-54,U,50-74K,2070,1
25-34,A,100-124K,2076,1
45-54,A,Under 15K,2082,1
55-64,A,125-149K,2084,1
35-44,A,35-49K,2085,1
45-54,A,25-34K,2086,0
45-54,B,100-124K,2087,1
25-34,U,35-49K,2088,1
35-44,A,Under 15K,2092,0
45-54,A,50-74K,2094,1
35-44,A,15-24K,2097,0
65+,A,35-49K,2100,0
55-64,A,175-199K,2102,0
35-44,A,75-99K,2107,0
35-44,A,125-149K,2110,0
45-54,U,75-99K,2111,0
45-54,A,35-49K,2112,1
35-44,A,150-174K,2115,0
35-44,A,75-99K,2116,1
25-34,U,50-74K,2119,1
55-64,B,35-49K,2121,1
45-54,U,75-99K,2123,1
25-34,A,50-74K,2124,0
25-34,U,35-49K,2129,1
25-34,B,50-74K,2130,1
55-64,A,100-124K,2133,1
35-44,U,35-49K,2134,0
65+,A,15-24K,2140,1
25-34,A,75-99K,2147,0
55-64,A,35-49K,2148,1
45-54,A,35-49K,2154,0
45-54,A,50-74K,2156,0
25-34,B,50-74K,2158,0
45-54,U,75-99K,2162,0
35-44,U,50-74K,2168,1
25-34,A,100-124K,2172,1
25-34,U,35-49K,2173,0
45-54,A,35-49K,2179,0
55-64,A,100-124K,2181,0
45-54,A,75-99K,2182,0
65+,A,25-34K,2183,1
25-34,U,50-74K,2184,0
25-34,U,125-149K,2185,1
35-44,U,25-34K,2186,1
65+,B,35-49K,2188,0
35-44,A,50-74K,2190,0
25-34,A,50-74K,2193,1
55-64,B,25-34K,2194,0
35-44,B,25-34K,2198,0
19-24,U,50-74K,2199,1
45-54,U,Under 15K,2200,0
45-54,A,50-74K,2203,0
35-44,U,50-74K,2208,0
25-34,A,35-49K,2209,0
35-44,B,15-24K,2217,0
65+,B,35-49K,2221,0
19-24,B,250K+,2224,1
35-44,A,200-249K,2231,0
25-34,B,150-174K,2233,0
65+,A,Under 15K,2234,1
45-54,U,175-199K,2235,0
45-54,U,50-74K,2237,1
45-54,A,50-74K,2243,0
35-44,U,75-99K,2250,1
45-54,A,50-74K,2252,0
19-24,U,35-49K,2254,0
45-54,U,25-34K,2260,1
45-54,A,250K+,2264,0
25-34,B,35-49K,2266,1
55-64,A,35-49K,2269,1
65+,A,25-34K,2272,0
25-34,U,50-74K,2279,1
35-44,U,15-24K,2280,0
55-64,B,175-199K,2282,1
45-54,A,250K+,2284,1
45-54,A,35-49K,2292,1
45-54,B,25-34K,2294,0
35-44,B,35-49K,2295,1
35-44,U,125-149K,2296,1
65+,A,50-74K,2298,0
45-54,U,50-74K,2300,1
35-44,A,35-49K,2302,1
45-54,B,50-74K,2305,1
45-54,A,75-99K,2307,1
45-54,A,250K+,2312,1
45-54,A,125-149K,2314,0
35-44,A,50-74K,2317,1
19-24,U,Under 15K,2318,1
45-54,U,175-199K,2322,0
35-44,A,50-74K,2324,1
45-54,U,250K+,2328,1
45-54,U,50-74K,2330,1
35-44,A,35-49K,2331,0
35-44,U,50-74K,2334,1
65+,U,Under 15K,2337,1
45-54,U,50-74K,2341,0
55-64,U,100-124K,2342,0
19-24,U,50-74K,2343,1
45-54,U,35-49K,2347,0
45-54,A,75-99K,2351,0
45-54,A,25-34K,2359,0
25-34,B,50-74K,2360,1
25-34,U,35-49K,2361,0
45-54,A,25-34K,2364,1
45-54,U,Under 15K,2367,1
25-34,A,Under 15K,2370,0
45-54,U,150-174K,2374,1
45-54,U,35-49K,2376,0
25-34,A,50-74K,2378,1
45-54,U,50-74K,2380,1
25-34,A,50-74K,2390,0
35-44,U,75-99K,2393,0
65+,B,125-149K,2397,0
35-44,A,25-34K,2400,0
25-34,U,15-24K,2405,0
25-34,A,125-149K,2406,1
45-54,A,100-124K,2407,1
65+,A,Under 15K,2411,1
45-54,U,15-24K,2420,0
45-54,A,150-174K,2421,0
19-24,U,Under 15K,2426,1
35-44,A,50-74K,2427,1
19-24,U,35-49K,2432,0
45-54,U,50-74K,2435,0
35-44,A,125-149K,2437,1
45-54,U,35-49K,2445,0
35-44,U,125-149K,2446,1
35-44,A,25-34K,2447,0
45-54,A,50-74K,2448,0
35-44,A,175-199K,2449,0
45-54,B,50-74K,2453,1
45-54,B,25-34K,2455,1
65+,A,15-24K,2465,0
35-44,A,75-99K,2467,1
25-34,U,150-174K,2479,0
45-54,B,75-99K,2483,0
35-44,B,25-34K,2486,0
45-54,B,35-49K,2488,1
35-44,A,50-74K,2489,1
35-44,U,50-74K,2494,1
45-54,A,75-99K,2496,0
45-54,U,35-49K,2497,0
25-34,U,50-74K,2498,0
25-34,U,Under 15K,2499,0
